n,t
1,5.49999822396785e-06
1,2.1000014385208488e-06
1,2.4000000848900527e-06
1,1.7000020307023078e-06
1,1.5000005078036338e-06
2,4.7000030463095754e-06
2,2.5000008463393897e-06
2,2.6000016077887267e-06
2,1.7000020307023078e-06
2,1.7999991541728377e-06
3,2.6999987312592566e-06
3,3.0000010156072676e-06
3,3.1000017770566046e-06
3,3.2999996619764715e-06
4,4.499997885432094e-06
4,3.9000005926936865e-06
5,6.599999323952943e-06
5,3.9000005926936865e-06
6,6.900001608300954e-06
6,5.500001861946657e-06
7,5.40000110049732e-06
7,6.299997039604932e-06
8,5.900001269765198e-06
9,8.099999831756577e-06
10,6.199999916134402e-06
11,1.469999915570952e-05
12,1.179999890155159e-05
13,1.049999991664663e-05
14,1.680000059423037e-05
16,3.3399999665562063e-05
17,4.149999949731864e-05
19,2.9899998480686918e-05
21,3.3799999073380604e-05
23,3.079999805777334e-05
26,4.499999704421498e-05
28,6.850000136182643e-05
31,6.340000254567713e-05
34,9.359999967273325e-05
37,7.619999814778566e-05
41,0.0001405000002705492
45,0.00011340000128257088
50,0.00016120000145747326
55,0.00017220000154338777
60,0.00021740000011050142
66,0.00032909999936237
73,0.00040839999928721227
80,0.0006432000009226613
88,0.000767400000768248
97,0.0006923000000824686
107,0.0016407000002800487
117,0.0011995999993814621
129,0.0012858999980380759
142,0.0016544999998586718
156,0.0022998999993433245
172,0.0031355999999505
189,0.002724599999055499
208,0.00391940000190516
229,0.004119900000659982
252,0.006095500000810716
277,0.005273599999782164
304,0.006413700000848621
335,0.008002699996723095
368,0.008474999998725252
405,0.010355799997341819
446,0.01925420000043232
490,0.02034079999793903
539,0.02371119999952498
593,0.026358600000094157
653,0.03241920000073151
718,0.03970870000193827
790,0.04429789999994682
869,0.06503159999920172
956,0.08123189999969327
1051,0.0970943000029365
1156,0.1254957999990438
1272,0.14673290000064299
1399,0.13031539999792585
1539,0.18174790000193752
1693,0.24042229999759002
1862,0.2861355999993975
